Exercicio;Tipo de Dívida;Modalidade da Dívida;Carteira;Tipo de Fonte;Fonte SOF Código;Fonte Recursos Código;Fonte Recursos Nome;Movimentação Financeira;Natureza Despesa Detalhada Código;Natureza Despesa Detalhada Nome; Saldo Atual 
2013;Interna;Contratual;MERCADO;Financeira;280;80;RECURSOS FINANCEIROS DIRETAMENTE ARRECADADOS;Juros e Encargos;329022;OUTROS ENCARGOS SOBRE A DIVIDA POR CONTRATO;11480,09
2013;Interna;Mobiliária;MERCADO;Financeira;144;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;36589351496,00
2013;Interna;Mobiliária;MERCADO;Financeira;152;52;RESULTADO DO BACEN;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;8794211778,00
2013;Interna;Mobiliária;MERCADO;Financeira;159;59;REC.OPER.OF.CRED.-RET.REF.DIV.MED. E L.PRAZOS;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;10000000000,00
2013;Interna;Mobiliária;MERCADO;Financeira;188;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;14903666537,00
2013;Interna;Mobiliária;MERCADO;Financeira;344;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;7383898000,00
2013;Interna;Mobiliária;MERCADO;Financeira;352;52;RESULTADO DO BACEN;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;1800926000,00
2013;Interna;Mobiliária;MERCADO;Financeira;359;59;REC.OPER.OF.CRED.-RET.REF.DIV.MED. E L.PRAZOS;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;2778076000,00
2013;Interna;Mobiliária;MERCADO;Primaria;362;62;REFORMA PATRIMONIAL - ALIENACAO DE BENS;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;16503000,00
2013;Interna;Mobiliária;MERCADO;Primaria;386;86;OUTRAS RECEITAS VINCULADAS;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;2069000,00
2013;Interna;Mobiliária;MERCADO;Primaria;397;97;DIVIDENDOS   UNIAO;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;7600531000,00
2013;Interna;Contratual;MERCADO;Financeira;100;0;RECURSOS ORDINARIOS;Principal;469071;PRINCIPAL DA DIVIDA CONTRATUAL RESGATADO;8620,45
2013;Interna;Contratual;MERCADO;Financeira;280;80;RECURSOS FINANCEIROS DIRETAMENTE ARRECADADOS;Principal;469071;PRINCIPAL DA DIVIDA CONTRATUAL RESGATADO;339322,57
2013;Interna;Mobiliária;MERCADO;Financeira;129;29;RECURSOS DE CONCESSOES E PERMISSOES;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;2400000000,00
2013;Interna;Mobiliária;MERCADO;Financeira;152;52;RESULTADO DO BACEN;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;35567737130,00
2013;Interna;Mobiliária;MERCADO;Financeira;159;59;REC.OPER.OF.CRED.-RET.REF.DIV.MED. E L.PRAZOS;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;13902866195,00
